"Table 210-06101 : Statistics on labour force, employment, unemployment and underemployment",,,,,,,,,,,,,,,,,,,,,,,,,
2022,,1886.0,1890.3,3776.3,-1.9,-2.9,-2.4,64.7,52.9,58.2,96.5,66.6,163.1,5.1,3.5,4.3,1789.5,1823.7,3613.2,52.8,35.3,88.1,2.8,1.9,2.3
2023,,1901.0,1921.3,3822.3,0.8,1.6,1.2,63.6,52.2,57.3,66.3,46.4,112.7,3.5,2.4,2.9,1834.7,1874.9,3709.6,28.8,12.9,41.6,1.5,0.7,1.1
1/2017 - 3/2017,,1988.5,1947.2,3935.7,-0.3,1.5,0.6,68.3,55.1,61.0,71.4,55.3,126.7,3.6,2.8,3.2,1917.1,1891.9,3808.9,35.2,13.7,48.9,1.8,0.7,1.2
4/2017 - 6/2017,,1987.9,1949.5,3937.4,-0.3,1.7,0.7,68.1,55.0,61.0,69.9,55.9,125.7,3.5,2.9,3.2,1918.0,1893.7,3811.6,33.4,12.8,46.2,1.7,0.7,1.2
7/2017 - 9/2017,,2008.9,1946.3,3955.2,0.3,1.2,0.8,68.7,54.8,61.1,70.9,58.5,129.4,3.5,3.0,3.3,1938.0,1887.7,3825.8,35.1,9.7,44.8,1.7,0.5,1.1
10/2017 - 12/2017,,2000.2,1960.3,3960.5,0.9,1.6,1.3,68.3,55.0,61.0,59.6,50.4,110.0,3.0,2.6,2.8,1940.6,1909.9,3850.6,32.5,9.9,42.4,1.6,0.5,1.1
1/2018 - 3/2018,,2011.3,1976.7,3987.9,1.1,1.5,1.3,68.7,55.4,61.4,66.0,45.6,111.5,3.3,2.3,2.8,1945.3,1931.1,3876.4,29.2,9.6,38.8,1.5,0.5,1.0
4/2018 - 6/2018,,2004.3,1979.2,3983.5,0.8,1.5,1.2,68.4,55.3,61.2,63.7,48.8,112.4,3.2,2.5,2.8,1940.6,1930.4,3871.0,29.8,11.6,41.4,1.5,0.6,1.0
7/2018 - 9/2018,,2021.2,1978.7,3999.9,0.6,1.7,1.1,68.8,55.1,61.3,66.4,51.4,117.9,3.3,2.6,2.9,1954.8,1927.2,3882.0,36.9,10.1,47.0,1.8,0.5,1.2
10/2018 - 12/2018,,2005.9,1984.5,3990.3,0.3,1.2,0.8,68.1,55.0,60.9,62.7,43.3,106.0,3.1,2.2,2.7,1943.2,1941.2,3884.4,32.7,11.7,44.4,1.6,0.6,1.1
1/2019 - 3/2019,,1994.7,1990.8,3985.4,-0.8,0.7,-0.1,67.8,55.1,60.8,68.6,41.5,110.2,3.4,2.1,2.8,1926.0,1949.2,3875.3,28.0,11.1,39.0,1.4,0.6,1.0
4/2019 - 6/2019,,1990.1,2003.8,3993.9,-0.7,1.2,0.3,67.6,55.3,60.8,69.2,45.0,114.2,3.5,2.2,2.9,1920.9,1958.8,3879.7,30.5,10.5,41.0,1.5,0.5,1.0
7/2019 - 9/2019,,1983.4,2005.7,3989.1,-1.9,1.4,-0.3,67.2,55.2,60.6,69.5,50.4,119.9,3.5,2.5,3.0,1913.9,1955.3,3869.2,31.4,9.9,41.3,1.6,0.5,1.0
10/2019 - 12/2019,,1986.2,1985.6,3971.8,-1.0,0.1,-0.5,67.1,54.6,60.2,75.3,48.7,124.1,3.8,2.5,3.1,1910.9,1936.8,3847.7,33.5,13.8,47.3,1.7,0.7,1.2
1/2020 - 3/2020,,1947.4,1973.4,3920.9,-2.4,-0.9,-1.6,66.0,54.4,59.6,97.4,68.7,166.1,5.0,3.5,4.2,1850.0,1904.8,3754.8,50.4,34.8,85.2,2.6,1.8,2.2
4/2020 - 6/2020,,1937.1,1967.8,3904.9,-2.7,-1.8,-2.2,65.8,54.4,59.6,141.2,101.8,242.9,7.3,5.2,6.2,1795.9,1866.1,3662.0,82.3,63.3,145.6,4.3,3.2,3.7
7/2020 - 9/2020,,1950.1,1954.8,3904.9,-1.7,-2.5,-2.1,66.5,54.3,59.8,152.2,103.3,255.5,7.8,5.3,6.5,1798.0,1851.5,3649.4,86.2,66.5,152.7,4.4,3.4,3.9
10/2020 - 12/2020,,1953.5,1949.3,3902.8,-1.6,-1.8,-1.7,66.6,54.1,59.7,148.0,97.9,245.9,7.6,5.0,6.3,1805.5,1851.4,3656.9,79.5,54.5,134.0,4.1,2.8,3.4
1/2021 - 3/2021,,1932.8,1955.7,3888.5,-0.8,-0.9,-0.8,66.2,54.4,59.7,152.3,108.6,260.9,7.9,5.6,6.7,1780.5,1847.2,3627.6,82.9,65.7,148.6,4.3,3.4,3.8
4/2021 - 6/2021,,1923.6,1962.0,3885.7,-0.7,-0.3,-0.5,65.7,54.5,59.6,127.7,86.8,214.5,6.6,4.4,5.5,1795.9,1875.2,3671.1,55.5,40.3,95.8,2.9,2.1,2.5
7/2021 - 9/2021,,1924.2,1949.8,3874.0,-1.3,-0.3,-0.8,65.6,54.2,59.3,106.0,75.0,181.0,5.5,3.8,4.7,1818.2,1874.9,3693.1,48.3,31.9,80.2,2.5,1.6,2.1
10/2021 - 12/2021,,1915.5,1935.4,3850.9,-1.9,-0.7,-1.3,65.2,53.7,58.9,84.2,61.0,145.2,4.4,3.2,3.8,1831.3,1874.3,3705.6,41.3,25.3,66.7,2.2,1.3,1.7
1/2022 - 3/2022,,1884.9,1908.6,3793.6,-2.5,-2.4,-2.4,64.6,53.3,58.4,112.7,76.3,189.1,6.0,4.0,5.0,1772.2,1832.3,3604.5,70.2,46.8,117.1,3.7,2.5,3.1
4/2022 - 6/2022,,1880.6,1873.7,3754.3,-2.2,-4.5,-3.4,64.7,52.6,58.0,103.8,76.4,180.2,5.5,4.1,4.8,1776.8,1797.2,3574.0,64.8,47.3,112.1,3.4,2.5,3.0
7/2022 - 9/2022,,1902.0,1906.1,3808.1,-1.2,-2.2,-1.7,64.7,52.9,58.2,94.1,64.3,158.4,4.9,3.4,4.2,1807.9,1841.8,3649.7,42.6,27.3,69.9,2.2,1.4,1.8
10/2022 - 12/2022,,1913.4,1933.9,3847.3,-0.1,-0.1,-0.1,64.3,52.9,58.0,75.8,51.5,127.2,4.0,2.7,3.3,1837.6,1882.4,3720.0,35.3,20.6,55.9,1.8,1.1,1.5
1/2023 - 3/2023,,1895.3,1912.7,3808.0,0.6,0.2,0.4,63.8,52.4,57.5,69.6,46.1,115.7,3.7,2.4,3.0,1825.8,1866.6,3692.3,34.7,12.6,47.2,1.8,0.7,1.2
4/2023 - 6/2023,,1893.1,1915.4,3808.5,0.7,2.2,1.4,63.4,52.2,57.2,68.9,45.3,114.2,3.6,2.4,3.0,1824.2,1870.1,3694.3,27.8,13.7,41.6,1.5,0.7,1.1
7/2023 - 9/2023,,1907.8,1930.5,3838.3,0.3,1.3,0.8,63.9,52.5,57.6,64.6,49.3,113.9,3.4,2.6,3.0,1843.3,1881.1,3724.4,26.2,11.7,37.9,1.4,0.6,1.0
10/2023 - 12/2023,,1889.4,1930.6,3820.0,-1.3,-0.2,-0.7,63.2,52.3,57.2,62.7,43.2,105.9,3.3,2.2,2.8,1826.7,1887.3,3714.1,24.7,12.2,36.9,1.3,0.6,1.0
1/2024 - 3/2024,,1871.6,1928.4,3800.1,-1.3,0.8,-0.2,62.8,52.4,57.0,67.4,44.3,111.7,3.6,2.3,2.9,1804.3,1884.1,3688.4,27.4,12.6,40.0,1.5,0.7,1.1
4/2024 - 6/2024,,1877.5,1940.6,3818.0,-0.8,1.3,0.3,62.8,52.6,57.1,69.9,44.9,114.7,3.7,2.3,3.0,1807.6,1895.7,3703.3,29.1,15.4,44.5,1.6,0.8,1.2
7/2024 - 9/2024,,1885.9 p,1944.2 p,3830.1 p,-1.1 p,0.7 p,-0.2 p,62.9 p,52.5 p,57.1 p,69.5 p,50.5 p,119.9 p,3.7 p,2.6 p,3.1 p,1816.5 p,1893.7 p,3710.2 p,30.1 p,15.9 p,46.0 p,1.6 p,0.8 p,1.2 p
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of persons are rounded to the nearest hundred.Figures in the table may not add up to the total due to rounding.For annual estimates less than 1 000 and quarterly estimates less than 3 000, they should be interpreted with caution due to relatively large sampling error.Figures under the ""resident population"" method prior to April-June 1996 are not available.Starting from 2001, annual figures are compiled based on the survey results of the General Household Survey from January to December of the year concerned as well as the mid-year population estimates.",,,,,,,,,,,,,,,,,,,,,,,,,
1 Labour force refers to the land-based non-institutional population aged 15 and over who satisfy the criteria for being classified as employed persons or unemployed persons. Inmates of institutions and persons living on board vessels are excluded.,,,,,,,,,,,,,,,,,,,,,,,,,
2 Labour force participation rate refers to the proportion of labour force in the total land-based non-institutional population aged 15 and over.,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Unemployed persons refer to those persons aged 15 and over who fulfil the following conditions :(a) have not had a job and have not performed any work for pay or profit during the 7 days before enumeration;(b) have been available for work during the 7 days before enumeration; and(c) have sought work during the 30 days before enumeration.However, if a person aged 15 or over fulfils the conditions (a) and (b) above but has not sought work during the 30 days before enumeration because he/she believes that work is not available, he/she is still classified as unemployed, being regarded as a so-called ""discouraged worker"".Notwithstanding the above, the following types of persons are also classified as unemployed :(a) persons without a job, have sought work but have not been available for work because of temporary sickness; and(b) persons without a job, have been available for work but have not sought work because they :(i) have made arrangements to take up a new job or to start business on a subsequent date; or(ii) were expecting to return to their original jobs. Unemployed persons with a previous job by previous industry/occupation do not include first-time job-seekers and re-entrants into the labour force who were unemployed as information on previous industry/occupation of these persons is not available.",,,,,,,,,,,,,,,,,,,,,,,,,
4 Unemployment rate refers to the proportion of unemployed persons in the labour force.,,,,,,,,,,,,,,,,,,,,,,,,,
5 Employed persons refer to those persons aged 15 and over who have been engaged in performing work for pay or profit during the 7 days before enumeration or who have had formal job attachment. Unpaid family workers and employed persons who were on leave/holiday during the 7 days before enumeration are included.,,,,,,,,,,,,,,,,,,,,,,,,,
"6 Underemployed persons refer to those employed persons who have involuntarily worked less than 35 hours during the 7 days before enumeration and have sought additional work during the 30 days before enumeration, or have not sought additional work but have been available for additional work during the 7 days before enumeration. Following this definition, employed persons taking no-pay leave due to slack work during the 7 days before enumeration are also classified as underemployed if they worked less than 35 hours or were on leave even for the whole period during the 7-day period.",,,,,,,,,,,,,,,,,,,,,,,,,
7 Underemployment rate refers to the proportion of underemployed persons in the labour force.,,,,,,,,,,,,,,,,,,,,,,,,,
p Provisional figure,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,
"General Household Survey Section (3),Census and Statistics Department(Enquiry telephone no. : 2887 5508 Enquiry e-mail : ghs@censtatd.gov.hk)",,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: 18 October, 2024",,,,,,,,,,,,,,,,,,,,,,,,,
